change_id,old_name,new_name,item_type,module,model,change_scope,impact_type,context,confidence,parent_change_id
100,_get_move_dests_initial_demand,_get_stock_move_dests_initial_demand,method,purchase_stock,purchase.order.line,model,primary,,0.900,
105,sale_order_count,count_sale_order,field,sale,account.move,model,primary,,1.000,
106,sales_to_invoice_count,count_sales_to_invoice,field,sale,crm.team,model,primary,,1.000,
107,sale_order_count,count_sale_order,field,sale,crm.team,model,primary,,1.000,
108,quotations_count,count_quotations,field,sale,crm.team,model,primary,,1.000,
109,quotations_amount,amount_quotations,field,sale,crm.team,model,primary,,1.000,
110,_compute_sale_order_count,_compute_count_sale_order,method,sale,crm.team,model,primary,,1.000,
114,sale_order_count,count_sale_order,field,sale,res.partner,model,primary,,1.000,
115,_compute_sale_order_count,_compute_count_sale_order,method,sale,res.partner,model,primary,,1.000,
116,validity_date,date_validity,field,sale,sale.order,model,primary,,1.000,
117,invoice_count,count_invoice_ids,field,sale,sale.order,model,primary,,1.000,
118,commitment_date,date_commitment,field,sale,sale.order,model,primary,,1.000,
123,action_quotation_send,action_send_quotation,method,sale,sale.order,model,primary,,1.000,
124,action_open_discount_wizard,action_view_discount_wizard,method,sale,sale.order,model,primary,,1.000,
125,_onchange_commitment_date,_onchange_date_commitment,method,sale,sale.order,model,primary,,1.000,
126,_get_copiable_order_lines,_get_order_lines_copiable,method,sale,sale.order,model,primary,,1.000,
127,_compute_validity_date,_compute_date_validity,method,sale,sale.order,model,primary,,1.000,
155,has_valued_move_ids,_has_valued_move_ids,method,sale,sale.order.line,model,primary,,1.000,
156,_get_order_date,_get_date_order,method,sale,sale.order.line,model,primary,,1.000,
157,_get_linked_lines,_get_lines_linked,method,sale,sale.order.line,model,primary,,1.000,
158,_get_linked_line,_get_line_linked,method,sale,sale.order.line,model,primary,,1.000,
159,_get_display_price_ignore_combo,_get_price_display_ignore_combo,method,sale,sale.order.line,model,primary,,1.000,
160,_get_display_price,_get_price_display,method,sale,sale.order.line,model,primary,,1.000,
161,_get_combo_item_display_price,_get_price_display_combo_item,method,sale,sale.order.line,model,primary,,1.000,
177,quotation_count,count_quotation,field,sale,utm.campaign,model,primary,,1.000,
179,_compute_sale_invoiced_amount,_compute_sale_amount_invoiced,method,sale,utm.campaign,model,primary,,1.000,
180,_compute_quotation_count,_compute_count_quotation,method,sale,utm.campaign,model,primary,,1.000,
181,sale_orders_count,count_sale_orders,field,sale,sale.mass.cancel.orders,model,primary,,1.000,
182,_compute_sale_orders_count,_compute_count_sale_orders,method,sale,sale.mass.cancel.orders,model,primary,,1.000,
183,view_draft_invoices,action_view_draft_invoices,method,sale,sale.advance.payment.inv,model,primary,,1.000,
185,_action_cancel,action_cancel,method,sale_loyalty,sale.order,model,primary,,1.000,
186,_get_display_price,_get_price_display,method,sale_loyalty,sale.order.line,model,primary,,1.000,
188,_compute_validity_date,_compute_date_validity,method,sale_management,sale.order,model,primary,,1.000,
190,_get_qty_procurement,_get_procurement_qty,method,sale_mrp,sale.order.line,model,primary,,1.000,
198,sale_order_count,count_sale_order,field,sale_purchase,purchase.order,model,primary,,1.000,
199,_compute_sale_order_count,_compute_count_sale_order,method,sale_purchase,purchase.order,model,primary,,1.000,
200,purchase_order_count,count_purchase_order,field,sale_purchase,sale.order,model,primary,,1.000,
201,_compute_purchase_order_count,_compute_count_purchase_order,method,sale_purchase,sale.order,model,primary,,1.000,
202,_action_cancel,action_cancel,method,sale_purchase,sale.order,model,primary,,1.000,
204,_compute_sale_order_count,_compute_count_sale_order,method,sale_purchase_stock,purchase.order,model,primary,,1.000,
205,_compute_purchase_order_count,_compute_count_purchase_order,method,sale_purchase_stock,sale.order,model,primary,,1.000,
206,incoterm,incoterm_id,field,sale_stock,sale.order,model,primary,,1.000,
207,effective_date,date_effective,field,sale_stock,sale.order,model,primary,,1.000,
208,action_view_delivery,action_view_picking,method,sale_stock,sale.order,model,primary,,1.000,
209,_compute_effective_date,_compute_date_effective,method,sale_stock,sale.order,model,primary,,1.000,
210,_action_cancel,action_cancel,method,sale_stock,sale.order,model,primary,,1.000,
215,free_qty_today,qty_free_today,field,sale_stock,sale.order.line,model,primary,,1.000,
218,_get_qty_procurement,_get_procurement_qty,method,sale_stock,sale.order.line,model,primary,,1.000,
221,reservation_date,date_reservation,field,stock,stock.move,model,primary,,1.000,
222,delay_alert_date,date_delay_alert,field,stock,stock.move,model,primary,,1.000,
224,_compute_reservation_date,_compute_date_reservation,method,stock,stock.move,model,primary,,1.000,
225,_compute_delay_alert_date,_compute_date_delay_alert,method,stock,stock.move,model,primary,,1.000,
226,delay_alert_date,date_delay_alert,field,stock,stock.picking,model,primary,,1.000,
227,_search_delay_alert_date,_search_date_delay_alert,method,stock,stock.picking,model,primary,,1.000,
228,_compute_delay_alert_date,_compute_date_delay_alert,method,stock,stock.picking,model,primary,,1.000,
229,_compute_bulk_weight,_compute_weight_bulk,method,stock,stock.picking,model,primary,,1.000,
234,action_view_delivery,action_view_picking,method,stock_dropshipping,sale.order,model,primary,,1.000,
236,_get_qty_procurement,_get_procurement_qty,method,stock_dropshipping,sale.order.line,model,primary,,1.000,
240,_get_order_date,_get_date_order,method,website_sale,sale.order.line,model,primary,,1.000,
3,_action_confirm,_hook_action_confirm,method,delivery,sale.order,model,primary,,0.767,
4,_get_update_prices_lines,_get_order_lines_price_updatable,method,delivery,sale.order,model,primary,,0.600,
7,_compute_product_uom_readonly,_compute_product_uom_updatable,method,event_sale,sale.order.line,model,primary,,0.700,
8,log_services,log_ids,field,fleet,fleet.vehicle,model,primary,,0.600,
9,log_drivers,log_ids,field,fleet,fleet.vehicle,model,primary,,0.600,
10,log_contracts,log_ids,field,fleet,fleet.vehicle,model,primary,,0.600,
12,action_accept_driver_change,accept_driver_change,method,fleet,fleet.vehicle,model,primary,,0.850,
13,return_action_to_open,action_view_service_logs,method,fleet,fleet.vehicle,model,primary,,0.767,
14,_set_odometer,_compute_odometer,method,fleet,fleet.vehicle,model,primary,,0.600,
15,_get_odometer,_compute_odometer,method,fleet,fleet.vehicle,model,primary,,0.600,
17,invoice_status,invoice_state,field,point_of_sale,pos.order,model,primary,,0.767,
18,_compute_invoice_status,_compute_invoice_state,method,point_of_sale,pos.order,model,primary,,0.850,
19,_compute_untaxed_amount_invoiced,_compute_invoice_amounts,method,pos_sale,sale.order.line,model,primary,,0.600,
20,_compute_qty_invoiced,_compute_qty_transfered,method,pos_sale,sale.order.line,model,primary,,0.600,
21,_compute_qty_delivered,_compute_qty_transfered,method,pos_sale,sale.order.line,model,primary,,0.600,
22,number_related_products,count_product_tmpl_ids,field,product,product.attribute,model,primary,,0.533,
24,_compute_number_related_products,_compute_count_product_tmpl_ids,method,product,product.attribute,model,primary,,0.604,
25,_compute_products,_compute_product_tmpl_ids,method,product,product.attribute,model,primary,,0.600,
43,_compute_item_count,_compute_count_pricelist_item,method,product,product.template,model,primary,,0.850,
48,_prepare_picking,_prepare_picking_vals,method,project_purchase_stock,purchase.order,model,primary,,0.767,
50,invoice_status,invoice_state,field,purchase,purchase.order,model,primary,,0.767,
51,partner_bill_count,count_partner_supplier_invoice,field,purchase,purchase.order,model,primary,,0.700,
52,order_line,line_ids,field,purchase,purchase.order,model,primary,,0.600,
59,_check_order_line_company_id,_check_line_ids_company_id,method,purchase,purchase.order,model,primary,,0.850,
60,action_create_invoice,create_invoice,method,purchase,purchase.order,model,primary,,0.767,
61,_prepare_invoice,_prepare_invoice_vals,method,purchase,purchase.order,model,primary,,0.767,
62,get_order_timezone,get_timezone,method,purchase,purchase.order,model,primary,,0.600,
63,_add_supplier_to_product,_create_supplier_for_product,method,purchase,purchase.order,model,primary,,0.600,
64,price_unit_discounted,price_unit_discounted_taxinc,field,purchase,purchase.order.line,model,primary,,0.850,
65,invoice_lines,invoice_line_ids,field,purchase,purchase.order.line,model,primary,,0.767,
66,qty_received_method,qty_transfered_method,field,purchase,purchase.order.line,model,primary,,0.600,
69,_compute_price_unit_and_date_planned_and_name,_compute_name_price_unit_discount_date_planned,method,purchase,purchase.order.line,model,primary,,0.850,
70,_get_invoice_lines,_get_invoice_line_ids,method,purchase,purchase.order.line,model,primary,,0.767,
71,_compute_amount,_compute_amounts,method,purchase,purchase.order.line,model,primary,,0.767,
72,_compute_qty_received_method,_compute_qty_transfered_method,method,purchase,purchase.order.line,model,primary,,0.700,
73,_product_id_change,_compute_product_updatable,method,purchase,purchase.order.line,model,primary,,0.600,
82,_compute_qty_received,_compute_qty_transfered,method,purchase_mrp,purchase.order.line,model,primary,,0.600,
83,_compute_price_unit_and_date_planned_and_name,_compute_name_price_unit_discount_date_planned,method,purchase_requisition,purchase.order.line,model,primary,,0.850,
85,incoming_picking_count,count_picking_ids,field,purchase_stock,purchase.order,model,primary,,0.767,
86,group_id,procurement_group_id,field,purchase_stock,purchase.order,model,primary,,0.600,
89,_prepare_group_vals,_prepare_procurement_group_vals,method,purchase_stock,purchase.order,model,primary,,0.850,
90,_compute_incoming_picking_count,_compute_count_picking_ids,method,purchase_stock,purchase.order,model,primary,,0.850,
91,_prepare_picking,_prepare_picking_vals,method,purchase_stock,purchase.order,model,primary,,0.767,
92,_prepare_invoice,_prepare_invoice_vals,method,purchase_stock,purchase.order,model,primary,,0.767,
93,_get_final_location_record,_get_location_final,method,purchase_stock,purchase.order,model,primary,,0.767,
94,_compute_picking_ids,_compute_count_picking_ids,method,purchase_stock,purchase.order,model,primary,,0.767,
95,qty_received_method,qty_transfered_method,field,purchase_stock,purchase.order.line,model,primary,,0.600,
96,group_id,procurement_group_id,field,purchase_stock,purchase.order.line,model,primary,,0.600,
101,_prepare_stock_moves,_get_stock_moves,method,purchase_stock,purchase.order.line,model,primary,,0.767,
102,_update_qty_received_method,_update_qty_transfered_method,method,purchase_stock,purchase.order.line,model,primary,,0.700,
103,_get_stock_move_price_unit,_get_price_unit,method,purchase_stock,purchase.order.line,model,primary,,0.600,
104,_compute_qty_received,_compute_qty_transfered,method,purchase_stock,purchase.order.line,model,primary,,0.600,
111,_compute_invoiced,_compute_sales_invoiced,method,sale,crm.team,model,primary,,0.767,
112,sale_order_ids_nbr,count_sale_order,field,sale,payment.transaction,model,primary,,0.600,
113,_compute_sale_order_ids_nbr,_compute_count_sale_order,method,sale,payment.transaction,model,primary,,0.700,
119,invoice_status,invoice_state,field,sale,sale.order,model,primary,,0.767,
120,amount_to_invoice,amount_to_invoice_taxinc,field,sale,sale.order,model,primary,,0.767,
121,amount_invoiced,amount_invoiced_taxinc,field,sale,sale.order,model,primary,,0.767,
122,order_line,line_ids,field,sale,sale.order,model,primary,,0.600,
128,_compute_invoice_status,_compute_invoice_state,method,sale,sale.order,model,primary,,0.850,
129,_prepare_invoice,_prepare_invoice_vals,method,sale,sale.order,model,primary,,0.767,
130,_onchange_order_line,_onchange_line_ids,method,sale,sale.order,model,primary,,0.767,
131,_get_invoiceable_lines,_get_order_lines_invoiceable,method,sale,sale.order,model,primary,,0.767,
132,_get_confirmation_template,_get_mail_template_confirmation,method,sale,sale.order,model,primary,,0.767,
133,_find_mail_template,_get_mail_template,method,sale,sale.order,model,primary,,0.767,
134,_compute_amount_to_invoice,_compute_invoice_ids,method,sale,sale.order,model,primary,,0.767,
135,_action_confirm,_hook_action_confirm,method,sale,sale.order,model,primary,,0.767,
136,_action_cancel,_hook_action_cancel,method,sale,sale.order,model,primary,,0.767,
137,_send_payment_succeeded_for_order_mail,_mail_payment_succeeded,method,sale,sale.order,model,primary,,0.700,
138,action_open_business_doc,action_view_approval_request,method,sale,sale.order,model,primary,,0.671,
139,_send_order_notification_mail,_mail_notification,method,sale,sale.order,model,primary,,0.600,
140,_send_order_confirmation_mail,_mail_confirmation,method,sale,sale.order,model,primary,,0.600,
141,_get_update_prices_lines,_get_order_lines_price_updatable,method,sale,sale.order,model,primary,,0.600,
142,_create_account_invoices,_hook_create_invoices,method,sale,sale.order,model,primary,,0.600,
143,_compute_expected_date,_compute_date_planned,method,sale,sale.order,model,primary,,0.600,
146,invoice_status,invoice_state,field,sale,sale.order.line,model,primary,,0.767,
147,invoice_lines,invoice_line_ids,field,sale,sale.order.line,model,primary,,0.767,
148,amount_to_invoice,amount_to_invoice_taxinc,field,sale,sale.order.line,model,primary,,0.767,
149,amount_invoiced,amount_invoiced_taxinc,field,sale,sale.order.line,model,primary,,0.767,
150,untaxed_amount_to_invoice,amount_to_invoice_taxinc,field,sale,sale.order.line,model,primary,,0.600,
151,untaxed_amount_invoiced,amount_invoiced_taxinc,field,sale,sale.order.line,model,primary,,0.600,
152,qty_delivered_method,qty_transfered_method,field,sale,sale.order.line,model,primary,,0.600,
153,product_uom_readonly,product_uom_updatable,field,sale,sale.order.line,model,primary,,0.600,
154,order_partner_id,partner_id,field,sale,sale.order.line,model,primary,,0.600,
162,_get_delivered_quantity_by_analytic,_get_qty_delivered_by_analytic,method,sale,sale.order.line,model,primary,,0.850,
163,_compute_invoice_status,_compute_invoice_state,method,sale,sale.order.line,model,primary,,0.850,
164,_compute_amount_to_invoice,_compute_invoice_amounts,method,sale,sale.order.line,model,primary,,0.850,
165,_sellable_lines_domain,_get_domain_sellable,method,sale,sale.order.line,model,primary,,0.767,
166,_prepare_invoice_line,_get_invoice_line_ids,method,sale,sale.order.line,model,primary,,0.767,
167,_get_invoice_lines,_get_invoice_line_ids,method,sale,sale.order.line,model,primary,,0.767,
168,_compute_amount,_compute_amounts,method,sale,sale.order.line,model,primary,,0.767,
169,_compute_untaxed_amount_to_invoice,_compute_invoice_amounts,method,sale,sale.order.line,model,primary,,0.700,
170,_compute_qty_delivered_method,_compute_qty_transfered_method,method,sale,sale.order.line,model,primary,,0.700,
171,_compute_product_uom_readonly,_compute_product_uom_updatable,method,sale,sale.order.line,model,primary,,0.700,
172,_compute_amount_invoiced,_compute_invoice_amounts,method,sale,sale.order.line,model,primary,,0.700,
173,_compute_untaxed_amount_invoiced,_compute_invoice_amounts,method,sale,sale.order.line,model,primary,,0.600,
174,_compute_qty_to_invoice,_compute_qty_transfered,method,sale,sale.order.line,model,primary,,0.600,
175,_compute_qty_invoiced,_compute_qty_transfered,method,sale,sale.order.line,model,primary,,0.600,
176,_compute_qty_delivered,_get_qty_delivered_by_analytic,method,sale,sale.order.line,model,primary,,0.600,
178,invoiced_amount,amount_invoiced_taxexc,field,sale,utm.campaign,model,primary,,0.767,
184,_send_order_notification_mail,_mail_notification,method,sale_async_emails,sale.order,model,primary,,0.600,
187,_sellable_lines_domain,_get_domain_sellable,method,sale_loyalty,sale.order.line,model,primary,,0.767,
189,_get_confirmation_template,_get_mail_template_confirmation,method,sale_management,sale.order,model,primary,,0.767,
191,_compute_qty_to_deliver,_compute_qty_transfered,method,sale_mrp,sale.order.line,model,primary,,0.600,
192,_compute_qty_delivered,_compute_qty_transfered,method,sale_mrp,sale.order.line,model,primary,,0.600,
193,_get_projects_for_invoice_status,_get_projects_for_invoice_state,method,sale_project,project.project,model,primary,,0.850,
194,_action_confirm,_hook_action_confirm,method,sale_project,sale.order,model,primary,,0.767,
195,qty_delivered_method,qty_transfered_method,field,sale_project,sale.order.line,model,primary,,0.600,
196,_compute_qty_delivered_method,_compute_qty_transfered_method,method,sale_project,sale.order.line,model,primary,,0.700,
197,_compute_qty_delivered,_compute_qty_transfered,method,sale_project,sale.order.line,model,primary,,0.600,
203,_action_confirm,_hook_action_confirm,method,sale_purchase,sale.order,model,primary,,0.767,
211,_prepare_invoice,_prepare_invoice_vals,method,sale_stock,sale.order,model,primary,,0.767,
212,_compute_picking_ids,_compute_count_picking_ids,method,sale_stock,sale.order,model,primary,,0.767,
213,_action_confirm,_hook_action_confirm,method,sale_stock,sale.order,model,primary,,0.767,
214,_compute_expected_date,_compute_date_planned,method,sale_stock,sale.order,model,primary,,0.600,
216,virtual_available_at_date,qty_available_virtual_at_date,field,sale_stock,sale.order.line,model,primary,,0.850,
217,forecast_expected_date,date_planned_forecast,field,sale_stock,sale.order.line,model,primary,,0.600,
219,_compute_qty_to_deliver,_compute_qty_transfered,method,sale_stock,sale.order.line,model,primary,,0.600,
220,_compute_qty_delivered,_compute_qty_transfered,method,sale_stock,sale.order.line,model,primary,,0.600,
223,forecast_expected_date,forecast_date_planned,field,stock,stock.move,model,primary,,0.600,
230,_has_scrap_move,_compute_has_scrap_move,method,stock,stock.picking,model,primary,,0.767,
231,_compute_scheduled_date,_compute_date_planned,method,stock,stock.picking,model,primary,,0.600,
232,_prepare_group_vals,_prepare_procurement_group_vals,method,stock_dropshipping,purchase.order,model,primary,,0.850,
233,_compute_incoming_picking_count,_compute_count_picking_ids,method,stock_dropshipping,purchase.order,model,primary,,0.850,
235,_compute_picking_ids,_compute_count_picking_ids,method,stock_dropshipping,sale.order,model,primary,,0.767,
237,onchange_scheduled_date,onchange_date_planned,method,stock_picking_batch,stock.picking.batch,model,primary,,0.600,
238,_compute_scheduled_date,_compute_date_planned,method,stock_picking_batch,stock.picking.batch,model,primary,,0.600,
239,_send_payment_succeeded_for_order_mail,_mail_payment_succeeded,method,website_sale,sale.order,model,primary,,0.700,
